F7,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,124848,142516,84550,31194,13253,5009,2681,1929,1501,1234,970,760,544,406,306,240,214,241
260,179579,210805,132340,49600,20368,6971,3349,2290,1793,1487,1214,1015,758,532,400,300,243,308
280,OVER,382651,219161,94925,50372,20535,9260,4959,3099,2237,1620,1275,909,634,475,361,302,374
300,OVER,OVER,205415,145254,105969,50586,23990,12265,7024,4597,2960,2096,1378,923,676,497,421,477
320,OVER,OVER,OVER,99421,88055,48996,26128,14669,8670,5861,3841,2746,1815,1208,867,637,522,577
340,5629,OVER,OVER,OVER,40689,29671,21001,14830,10311,7647,5265,3904,2578,1695,1211,872,685,739
360,533,2432,OVER,OVER,OVER,18646,15792,13749,11021,8660,6260,4667,3101,2011,1396,995,782,878
380,583,289,1679,OVER,OVER,OVER,8328,7218,6473,5512,4104,3112,2067,1368,968,709,589,820
400,725,339,282,1572,OVER,OVER,OVER,8070,3146,2894,2197,1758,1243,900,671,516,482,846
420,642,300,191,156,1371,OVER,OVER,OVER,3952,1362,1304,1017,805,630,513,423,442,1028
440,441,220,141,104,110,867,OVER,OVER,OVER,4050,668,806,612,456,394,334,384,1008
460,432,209,143,116,110,117,1449,OVER,OVER,OVER,1953,551,597,458,353,311,356,870
480,476,250,157,133,155,151,246,2671,OVER,OVER,OVER,1373,388,388,401,318,342,714
500,693,335,210,164,152,119,134,220,2147,OVER,OVER,OVER,884,283,343,370,380,640
