target,cohort,feature_set,model,config,seed,n_rows,n_train,n_test,n_features_raw,n_features_after_variance,n_features_selected,rmse,mae,r2,test_mean_rmse,improvement_vs_test_mean_pct
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=2,alpha=1.0,max_features=12,y_transform=log1p",0,153,115,38,27,23,12,0.6628421850336076,0.4188583499648507,-0.11474692027079736,0.6278009950097084,-5.581576057132129
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=2,alpha=1.0,max_features=12,y_transform=log1p",0,153,115,38,27,23,12,0.6983975708059994,0.44274614251295147,-0.23754625673325158,0.6278009950097084,-11.245056372553098
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=3,alpha=1.0,max_features=12,y_transform=log1p",0,153,115,38,27,23,12,0.6544979455367904,0.41231195935345094,-0.08685742315373957,0.6278009950097084,-4.252454319010619
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=3,alpha=1.0,max_features=12,y_transform=log1p",0,153,115,38,27,23,12,0.7077958134020198,0.4523889798238876,-0.2710773491185816,0.6278009950097084,-12.742066200623706
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=5,alpha=1.0,max_features=12,y_transform=log1p",0,153,115,38,27,23,12,0.8744342003347783,0.4996078480910302,-0.9400381530176678,0.6278009950097084,-39.28525237862292
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=5,alpha=1.0,max_features=12,y_transform=log1p",0,153,115,38,27,23,12,0.9736162811255612,0.5242268355106366,-1.405091791150877,0.6278009950097084,-55.08358362995347
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=8,alpha=1.0,max_features=12,y_transform=log1p",0,153,115,38,27,23,12,0.8988316119843793,0.5064767124172823,-1.0498056082009795,0.6278009950097084,-43.171422015742365
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=8,alpha=1.0,max_features=12,y_transform=log1p",0,153,115,38,27,23,12,0.9498309756680002,0.519894308782758,-1.2890151010794528,0.6278009950097084,-51.294914028180514
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=12,alpha=1.0,max_features=12,y_transform=log1p",0,153,115,38,27,23,12,0.8988316119843806,0.5064767124172807,-1.0498056082009848,0.6278009950097084,-43.17142201574256
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=12,alpha=1.0,max_features=12,y_transform=log1p",0,153,115,38,27,23,12,0.9498309756680002,0.519894308782758,-1.2890151010794528,0.6278009950097084,-51.294914028180514
rhamnose_gL,all_known,raman_interpretable,ridge,"alpha=0.1,max_features=24,y_transform=none",0,153,115,38,27,23,23,1.5625208443868766,0.7026525486229885,-5.19451972109725,0.6278009950097084,-148.8879209824625
rhamnose_gL,all_known,raman_interpretable,ridge,"alpha=1.0,max_features=24,y_transform=none",0,153,115,38,27,23,23,1.3199248922965405,0.6635269235359282,-3.4203274176125094,0.6278009950097084,-110.24574710591673
rhamnose_gL,all_known,raman_interpretable,ridge,"alpha=10.0,max_features=24,y_transform=none",0,153,115,38,27,23,23,1.066214090130247,0.5964753171880853,-1.8843292593894385,0.6278009950097084,-69.83313161422417
rhamnose_gL,all_known,raman_interpretable,knn,"k=1,weighted=True,max_features=24,y_transform=none",0,153,115,38,27,23,23,0.7200561929826252,0.3588157894736842,-0.31549372429874856,0.6278009950097084,-14.694974793961606
rhamnose_gL,all_known,raman_interpretable,knn,"k=3,weighted=True,max_features=24,y_transform=none",0,153,115,38,27,23,23,0.8474793331609205,0.4955468624012114,-0.822276325669683,0.6278009950097084,-34.99171551134845
