target,cohort,feature_set,preprocessing_config,model,config,n_repeats,mean_rmse,std_rmse,mean_mae,mean_r2,last_best_rmse,additional_improvement_vs_last_best_pct,met_5pct_vs_last_best,met_10pct_vs_last_best
rhamnose_gL,all_known,parafac_raman_fusion_als_sg2_snv,als_sg2_snv+parafac,weighted_knn,"k=5,metric=correlation,max_features=192,x_transform=none,log_target=False",10,0.49332117,0.12124985,0.29602829,0.046568233,0.41357326,-19.282657,False,False
xylose_gL,all_known,raman_preprocessed_als_sg2_snv,als_sg2_snv,weighted_knn,"k=5,metric=correlation,max_features=192,x_transform=l2,log_target=True",10,0.55435386,0.13320018,0.2619181,-0.022013629,0.45796214,-21.047967,False,False
glucose_gL,all_known,parafac_raman_fusion_als_sg0_snv_area,als_sg0_snv_area+parafac,krr,"kernel=rbf,alpha=0.1,gamma_scale=2.0,max_features=48,x_transform=none,log_target=True",10,0.70579507,0.31193928,0.33825557,-0.21712719,0.55887802,-26.287855,False,False
