target,cohort,feature_set,model,config,n_repeats,mean_rmse,std_rmse,mean_mae,mean_r2,mean_improvement_vs_test_mean_pct
rhamnose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=5,max_features=192",5,0.44863177,0.062017994,0.31539416,-0.16694904,-7.8712333
rhamnose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",5,0.44980187,0.0780656,0.22176066,-0.1540199,-7.4205212
rhamnose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=2,max_features=192",5,0.48187822,0.11782876,0.33295837,-0.75189779,-27.945255
rhamnose_gL,all_known,fusion_full,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",5,0.51093608,0.12024702,0.38040286,-0.81279194,-33.11485
rhamnose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",5,0.63247224,0.15483564,0.28844403,-2.7834028,-78.146762
rhamnose_gL,all_known,eem_full,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",5,0.67006616,0.098364168,0.53113648,-1.820269,-64.082472
rhamnose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=5,max_features=192",5,0.87316583,0.4780811,0.43076991,-8.0898691,-152.98711
xylose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",5,0.44106473,0.18457797,0.23836077,-0.25666515,-10.297781
xylose_gL,all_known,fusion_full,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",5,0.4418405,0.2263152,0.24032544,-0.20276271,-8.1386067
xylose_gL,all_known,fusion_full,sklearn_plsr,"n_components=2,max_features=192",5,0.51839031,0.17239781,0.36187375,-0.92955795,-35.301468
xylose_gL,all_known,fusion_full,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",5,0.5416603,0.21131184,0.32319825,-0.96031311,-37.997963
xylose_gL,all_known,fusion_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",5,0.60105268,0.16870147,0.2390105,-2.2343009,-66.295671
xylose_gL,all_known,fusion_full,sklearn_plsr,"n_components=5,max_features=192",5,0.61997544,0.14283243,0.40748413,-2.3068096,-72.203347
xylose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",5,0.66996232,0.28402503,0.33378151,-0.040061873,-1.5283128
xylose_gL,all_known,fusion_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",5,0.67233739,0.15029299,0.41519657,-2.654562,-83.74801
xylose_gL,all_known,eem_interpretable,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",5,0.67523657,0.29617366,0.2600733,-0.0041336295,-0.14171888
