target,cohort,feature_set,model,config,n_repeats,mean_rmse,std_rmse,mean_mae,mean_r2,mean_improvement_vs_test_mean_pct
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=12,y_transform=none,x_transform=sample_center",10,0.69703565,0.25116577,0.41441176,-0.44089165,-4.2942033
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=12,y_transform=log1p,x_transform=sample_center",10,0.69703565,0.25116577,0.41441176,-0.44089165,-4.2942033
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=24,y_transform=none,x_transform=sample_center",10,0.69703565,0.25116577,0.41441176,-0.44089165,-4.2942033
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=24,y_transform=log1p,x_transform=sample_center",10,0.69703565,0.25116577,0.41441176,-0.44089165,-4.2942033
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=48,y_transform=none,x_transform=sample_center",10,0.69703565,0.25116577,0.41441176,-0.44089165,-4.2942033
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=48,y_transform=log1p,x_transform=sample_center",10,0.69703565,0.25116577,0.41441176,-0.44089165,-4.2942033
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=96,y_transform=none,x_transform=sample_center",10,0.69703565,0.25116577,0.41441176,-0.44089165,-4.2942033
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=96,y_transform=log1p,x_transform=sample_center",10,0.69703565,0.25116577,0.41441176,-0.44089165,-4.2942033
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=12,y_transform=none,x_transform=l2",10,0.70604366,0.26890681,0.41882353,-0.62439496,-8.2087977
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=12,y_transform=log1p,x_transform=l2",10,0.70604366,0.26890681,0.41882353,-0.62439496,-8.2087977
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=24,y_transform=none,x_transform=l2",10,0.70604366,0.26890681,0.41882353,-0.62439496,-8.2087977
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=24,y_transform=log1p,x_transform=l2",10,0.70604366,0.26890681,0.41882353,-0.62439496,-8.2087977
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=48,y_transform=none,x_transform=l2",10,0.70604366,0.26890681,0.41882353,-0.62439496,-8.2087977
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=48,y_transform=log1p,x_transform=l2",10,0.70604366,0.26890681,0.41882353,-0.62439496,-8.2087977
