A1,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,2378,7135,6924,3296,1820,682,389,369,426,486,499,497,437,367,293,232,196,168
260,11953,6553,6084,2815,1571,614,403,428,531,630,706,731,656,551,448,372,306,274
280,5528144,19813,11691,5701,2953,941,432,354,421,505,565,599,564,488,414,347,292,279
300,OVER,OVER,6678,3197,1817,676,339,275,303,351,393,416,397,357,308,264,231,228
320,4530272,OVER,OVER,834,466,336,252,191,180,175,179,178,159,142,115,104,98,118
340,78,5923442,OVER,OVER,5369,369,282,226,180,139,114,87,63,48,36,29,22,62
360,43,452,OVER,OVER,OVER,7364,345,278,243,191,154,115,77,54,39,22,25,83
380,-70,-77,4431,OVER,OVER,OVER,1436,192,181,167,142,116,90,65,43,19,27,100
400,61,-21,-34,1317,OVER,OVER,OVER,314,144,142,132,104,74,53,37,25,28,126
420,-54,6,-26,3,126,OVER,OVER,OVER,155,117,109,100,80,56,27,26,36,192
440,-97,-69,14,-30,-4,29,OVER,OVER,OVER,137,76,87,60,46,33,24,39,226
460,-113,-52,-37,5,2,-8,637,OVER,OVER,OVER,89,55,52,37,24,21,18,189
480,-262,-80,4,26,-16,2,5,7218,OVER,OVER,OVER,70,33,27,20,12,20,166
500,-28,-23,-88,-8,-58,-4,-14,-17,8243,OVER,OVER,OVER,59,17,15,18,31,143
