C10,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1742,2577,1956,875,574,320,267,331,398,452,469,457,393,328,262,212,185,157
260,17402,3736,2617,1039,621,358,347,457,583,695,753,750,671,560,459,380,317,271
280,4019270,19289,2871,1276,786,370,287,355,459,568,632,657,607,522,437,368,323,281
300,6597698,3626778,2059,810,608,358,284,295,353,410,448,463,438,383,321,285,246,224
320,1656406,OVER,OVER,1400,476,342,288,262,247,236,240,218,196,171,138,128,110,108
340,275,2741536,OVER,OVER,9427,347,298,263,242,193,156,123,93,72,58,47,43,47
360,212,392,4457039,OVER,OVER,10591,328,297,288,242,195,151,116,85,63,43,39,59
380,392,152,1900,4024668,OVER,OVER,2301,261,260,240,206,168,122,87,77,54,61,58
400,321,305,192,646,4101626,OVER,OVER,508,239,240,211,180,143,96,82,66,54,81
420,354,213,117,131,155,1600486,OVER,OVER,273,175,173,156,130,95,73,71,67,96
440,311,218,116,89,74,50,OVER,OVER,OVER,221,126,122,97,75,56,52,51,89
460,352,185,120,85,79,58,255,OVER,OVER,OVER,155,98,84,73,53,44,40,74
480,372,276,168,115,82,39,32,2682,OVER,OVER,OVER,120,77,60,60,42,39,76
500,587,214,222,210,140,63,45,29,2715,OVER,OVER,OVER,116,57,59,57,50,87
