F2,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1769,3293,2830,1298,793,403,320,359,438,489,522,498,447,365,300,250,207,186
260,15149,4090,3223,1311,764,379,333,408,519,621,689,686,620,521,429,358,292,265
280,3738822,19987,3846,1826,1071,430,295,327,419,509,573,598,565,485,407,343,298,261
300,6328121,3059147,2790,1119,773,398,283,273,307,361,401,414,395,344,299,263,234,210
320,1625124,OVER,3201924,1811,537,373,287,234,211,207,201,202,179,154,137,120,107,112
340,397,2414819,OVER,OVER,10846,416,327,257,211,179,144,113,92,77,66,55,55,74
360,600,393,3576655,OVER,OVER,13627,385,324,292,248,194,152,124,90,71,58,50,78
380,492,318,1753,3175535,OVER,OVER,2801,288,273,251,208,176,138,107,81,69,51,96
400,831,398,246,601,3314666,OVER,OVER,643,244,240,215,193,150,113,94,89,80,127
420,712,417,234,197,196,1275990,OVER,OVER,325,184,171,154,131,109,94,81,79,132
440,506,319,225,103,113,70,OVER,OVER,OVER,261,123,128,111,86,63,66,71,136
460,601,297,273,162,131,67,222,OVER,OVER,OVER,166,96,97,70,65,58,57,132
480,675,269,234,208,108,90,55,2180,OVER,OVER,OVER,134,76,70,64,64,56,115
500,724,496,321,238,234,100,57,63,2200,OVER,OVER,OVER,140,92,72,75,82,129
