A4,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1660,4269,4000,1937,1137,528,364,380,449,512,530,531,461,387,313,255,200,178
260,8344,5002,4330,1898,1084,499,381,440,566,664,724,726,662,559,456,373,309,271
280,2808169,12046,6369,3123,1719,617,356,346,430,517,597,615,578,502,416,351,302,277
300,5509358,2284809,3536,1737,1114,491,302,268,309,361,407,420,400,356,306,264,228,221
320,1549189,OVER,2452082,919,496,381,277,220,199,195,185,185,167,145,121,107,100,107
340,27,2362931,OVER,OVER,6314,468,336,254,192,149,114,96,77,53,36,35,31,60
360,-33,225,3654705,OVER,OVER,8365,391,308,260,207,160,131,92,69,47,31,41,67
380,33,39,1540,3183119,OVER,OVER,1819,206,204,181,140,122,90,61,47,34,29,93
400,-4,33,69,487,3349298,OVER,OVER,305,153,150,147,107,89,66,48,41,43,112
420,53,79,61,18,93,1252225,OVER,OVER,187,122,110,106,87,63,40,44,52,163
440,164,60,32,15,22,8,OVER,OVER,OVER,152,83,87,68,54,37,35,32,173
460,201,47,41,10,23,12,169,OVER,OVER,OVER,101,70,60,42,38,26,37,163
480,7,64,66,35,2,11,7,1758,OVER,OVER,OVER,82,45,36,30,33,28,125
500,257,158,-2,-17,88,26,10,11,2043,OVER,OVER,OVER,80,33,38,25,35,118
