B7,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1913,3948,3441,1610,942,423,297,323,386,439,450,441,383,318,251,196,158,139
260,24296,4797,3917,1687,944,425,334,391,497,597,642,653,586,485,398,318,265,219
280,4637181,28900,6253,2940,1602,583,327,324,404,485,554,575,527,459,382,322,274,234
300,OVER,OVER,4064,1791,1092,473,290,268,305,347,387,413,386,339,290,246,215,194
320,1610915,OVER,OVER,1503,457,337,261,217,199,198,187,179,162,137,116,95,81,79
340,0,2617163,OVER,OVER,12081,341,284,227,192,156,127,89,62,43,25,15,18,26
360,-148,111,4169209,OVER,OVER,13532,334,287,261,215,169,127,80,55,31,21,22,40
380,-222,-64,1553,3600514,OVER,OVER,2550,231,230,210,171,125,82,66,30,16,18,40
400,-301,-55,-139,391,3708026,OVER,OVER,518,177,179,151,122,81,38,27,18,-4,55
420,-212,-142,-98,-65,22,1437135,OVER,OVER,236,126,124,91,78,46,30,11,11,70
440,-126,-76,-46,-53,-35,8,OVER,OVER,OVER,196,80,75,53,36,21,8,13,89
460,-104,-182,-93,-34,-52,-22,180,OVER,OVER,OVER,112,62,50,28,13,2,12,64
480,-273,-204,-70,-55,-76,-22,2,2095,OVER,OVER,OVER,79,29,17,6,-5,2,57
500,-341,-157,-106,-137,-89,-11,-38,-7,2254,OVER,OVER,OVER,61,1,8,-6,-5,37
