feature_strategy,model_category,model,config,split,n_samples,n_train,n_test,n_features_raw,n_features_selected,rmse,mae,r2,status
EEM interpretable,Chemometrics,PLSR,n_components=5,2,148,111,37,16,16,0.5038294346733164,0.31864955601911066,0.0055106400388206245,ok
EEM interpretable,Chemometrics,PCR + Ridge,n_components=5,2,148,111,37,16,16,0.5068527020331423,0.3165838810505008,-0.006460188592171123,ok
EEM interpretable,ML,SVR linear,"C=1,epsilon=0.05",2,148,111,37,16,16,0.5352824635135258,0.23457584266531667,-0.12253295505486883,ok
EEM interpretable,ML,SVR RBF,"C=10,epsilon=0.05",2,148,111,37,16,16,0.542004453014241,0.29245754127189955,-0.15090314763087687,ok
EEM interpretable,ML,Weighted kNN,"k=3,distance",2,148,111,37,16,16,0.546565845464401,0.2930394634291975,-0.1703561656202064,ok
EEM interpretable,ML,Kernel ridge,"rbf,alpha=0.1",2,148,111,37,16,16,0.5534692344847074,0.3375679164179154,-0.2001071918593027,ok
EEM interpretable,ML,Random forest,"n=250,max_depth=4",2,148,111,37,16,16,0.4446985313426933,0.2806885789679404,0.22524487307753172,ok
EEM interpretable,ML,Extra trees,"n=250,max_depth=4",2,148,111,37,16,16,0.46878058475413414,0.2870529767336306,0.13906115884444303,ok
EEM interpretable,DL,ANN MLP,"hidden=(32,16),early_stop",2,148,111,37,16,16,0.4928105014435245,0.35700820060455674,0.048534652004555756,ok
EEM interpretable,ML,XGBoost,"n=250,depth=2,eta=0.05",2,148,111,37,16,16,0.5434705687636068,0.300286488252113,-0.1571379280360703,ok
EEM interpretable,Statistics,Mean baseline,mean,3,148,111,37,16,12,0.3009426523334754,0.27424640857073285,-0.4521610577548738,ok
EEM interpretable,Statistics,Linear regression,ols,3,148,111,37,16,16,0.31491258432691527,0.24963131312304662,-0.5901105887286011,ok
EEM interpretable,Statistics,Ridge,alpha=10,3,148,111,37,16,16,0.3035159889678207,0.2460687126628797,-0.47710186414180633,ok
EEM interpretable,Statistics,Lasso,alpha=0.001,3,148,111,37,16,16,0.31263200580293576,0.24968981711024354,-0.5671630073868614,ok
EEM interpretable,Statistics,Elastic Net,"alpha=0.001,l1_ratio=0.2",3,148,111,37,16,16,0.31403545240147135,0.249911977013761,-0.5812649951356361,ok
EEM interpretable,Chemometrics,PLSR,n_components=2,3,148,111,37,16,16,0.2834060066367826,0.2257642903473049,-0.2878503459170676,ok
EEM interpretable,Chemometrics,PLSR,n_components=5,3,148,111,37,16,16,0.32069741338514196,0.2548331009106254,-0.649066661667596,ok
EEM interpretable,Chemometrics,PCR + Ridge,n_components=5,3,148,111,37,16,16,0.3027335711953294,0.24295312060212151,-0.4694961947898757,ok
EEM interpretable,ML,SVR linear,"C=1,epsilon=0.05",3,148,111,37,16,16,0.2571192700335932,0.1206941788406408,-0.06002608036952539,ok
EEM interpretable,ML,SVR RBF,"C=10,epsilon=0.05",3,148,111,37,16,16,0.35937740508074606,0.24991571323856682,-1.0708509170512905,ok
EEM interpretable,ML,Weighted kNN,"k=3,distance",3,148,111,37,16,16,0.4007166716204634,0.23936828104132088,-1.5746732478573806,ok
EEM interpretable,ML,Kernel ridge,"rbf,alpha=0.1",3,148,111,37,16,16,0.3851177664964104,0.2871797234777672,-1.3781235088246713,ok
EEM interpretable,ML,Random forest,"n=250,max_depth=4",3,148,111,37,16,16,0.34323384235541954,0.25127325875836537,-0.8889806180207418,ok
EEM interpretable,ML,Extra trees,"n=250,max_depth=4",3,148,111,37,16,16,0.3170083062539082,0.2500685565444384,-0.611345168356842,ok
EEM interpretable,DL,ANN MLP,"hidden=(32,16),early_stop",3,148,111,37,16,16,0.303791563040884,0.2518385610940372,-0.4797853192519703,ok
EEM interpretable,ML,XGBoost,"n=250,depth=2,eta=0.05",3,148,111,37,16,16,0.366188091762407,0.2415652515925467,-1.1500855082340578,ok
EEM interpretable,Statistics,Mean baseline,mean,4,148,111,37,16,12,0.49935272201002034,0.32771365960555154,-0.0003387557203491376,ok
EEM interpretable,Statistics,Linear regression,ols,4,148,111,37,16,16,0.5274801897564878,0.3290565580801209,-0.11620653066407338,ok
EEM interpretable,Statistics,Ridge,alpha=10,4,148,111,37,16,16,0.5030668184728877,0.32509710912611334,-0.015274778064468864,ok
EEM interpretable,Statistics,Lasso,alpha=0.001,4,148,111,37,16,16,0.5251715732319953,0.3263896969568149,-0.1064573352909366,ok
EEM interpretable,Statistics,Elastic Net,"alpha=0.001,l1_ratio=0.2",4,148,111,37,16,16,0.5262279752211968,0.3282546304465437,-0.11091317180554139,ok
EEM interpretable,Chemometrics,PLSR,n_components=2,4,148,111,37,16,16,0.50225590196355,0.3301598640099185,-0.01200428003591214,ok
EEM interpretable,Chemometrics,PLSR,n_components=5,4,148,111,37,16,16,0.5215338944385338,0.3242877131675195,-0.09118233972955059,ok
EEM interpretable,Chemometrics,PCR + Ridge,n_components=5,4,148,111,37,16,16,0.4997195839169414,0.32840433164484234,-0.0018091431842648387,ok
EEM interpretable,ML,SVR linear,"C=1,epsilon=0.05",4,148,111,37,16,16,0.5294072966406685,0.23638226125478212,-0.1243773726214914,ok
EEM interpretable,ML,SVR RBF,"C=10,epsilon=0.05",4,148,111,37,16,16,0.5486018949128378,0.29004912050489945,-0.20738800886970998,ok
EEM interpretable,ML,Weighted kNN,"k=3,distance",4,148,111,37,16,16,0.5467776136434828,0.28313867310065044,-0.19937143750695374,ok
EEM interpretable,ML,Kernel ridge,"rbf,alpha=0.1",4,148,111,37,16,16,0.539633270599923,0.3080252832866718,-0.16823358485992923,ok
EEM interpretable,ML,Random forest,"n=250,max_depth=4",4,148,111,37,16,16,0.5269428915855845,0.3069407340206255,-0.11393372387581091,ok
EEM interpretable,ML,Extra trees,"n=250,max_depth=4",4,148,111,37,16,16,0.5116223821664545,0.3063038615876417,-0.0501016058726782,ok
EEM interpretable,DL,ANN MLP,"hidden=(32,16),early_stop",4,148,111,37,16,16,0.4742258438557381,0.3351451167162976,0.09780028066743551,ok
EEM interpretable,ML,XGBoost,"n=250,depth=2,eta=0.05",4,148,111,37,16,16,0.5060746429585516,0.29424299895914424,-0.027451679536096174,ok
Raman interpretable,Statistics,Mean baseline,mean,0,150,112,38,27,12,0.29512906650488685,0.2696804511278195,-0.5862115380801094,ok
Raman interpretable,Statistics,Linear regression,ols,0,150,112,38,27,27,0.4296887786251112,0.3228133105553474,-2.3623673563022134,ok
Raman interpretable,Statistics,Ridge,alpha=10,0,150,112,38,27,27,0.2985390857935157,0.26921618664368097,-0.6230785316680842,ok
Raman interpretable,Statistics,Lasso,alpha=0.001,0,150,112,38,27,27,0.31570566248737636,0.24559804702926397,-0.8151055269561835,ok
Raman interpretable,Statistics,Elastic Net,"alpha=0.001,l1_ratio=0.2",0,150,112,38,27,27,0.3332233148384281,0.2515466954880971,-1.0221245273090904,ok
Raman interpretable,Chemometrics,PLSR,n_components=2,0,150,112,38,27,27,0.2953957931073443,0.2673947724764978,-0.5890799508965929,ok
Raman interpretable,Chemometrics,PLSR,n_components=5,0,150,112,38,27,27,0.3147334699213354,0.2765018873013836,-0.8039437691462759,ok
Raman interpretable,Chemometrics,PCR + Ridge,n_components=5,0,150,112,38,27,27,0.2928352873869111,0.26733516521751344,-0.5616508953225763,ok
Raman interpretable,ML,SVR linear,"C=1,epsilon=0.05",0,150,112,38,27,27,0.2333912060686143,0.11582213272816004,0.008012698344072922,ok
Raman interpretable,ML,SVR RBF,"C=10,epsilon=0.05",0,150,112,38,27,27,0.24496772736048966,0.13306473373041244,-0.09283572202343748,ok
Raman interpretable,ML,Weighted kNN,"k=3,distance",0,150,112,38,27,27,0.39100255212565393,0.24729849951733962,-1.7841736602482365,ok
Raman interpretable,ML,Kernel ridge,"rbf,alpha=0.1",0,150,112,38,27,27,0.3067633744080535,0.220593156320322,-0.7137369040890675,ok
Raman interpretable,ML,Random forest,"n=250,max_depth=4",0,150,112,38,27,27,0.29127335335490856,0.23324148923998697,-0.545036158949477,ok
Raman interpretable,ML,Extra trees,"n=250,max_depth=4",0,150,112,38,27,27,0.29822462492207064,0.25848202560229366,-0.6196610502986222,ok
Raman interpretable,DL,ANN MLP,"hidden=(32,16),early_stop",0,150,112,38,27,27,0.38817066307095976,0.2906809779241832,-1.743990194965285,ok
Raman interpretable,ML,XGBoost,"n=250,depth=2,eta=0.05",0,150,112,38,27,27,0.3172699239211462,0.1994695526169074,-0.8331370924716526,ok
Raman interpretable,Statistics,Mean baseline,mean,1,150,112,38,27,12,0.3062327308037921,0.25986372180451134,-0.11732709228443894,ok
Raman interpretable,Statistics,Linear regression,ols,1,150,112,38,27,27,0.3943355119974348,0.29839218929054917,-0.8527161779108385,ok
