feature_strategy,model_category,model,config,n_splits,n_samples,n_features_raw,n_features_selected,mean_rmse,std_rmse,mean_mae,mean_r2
EEM + Raman interpretable,ML,SVR linear,"C=1,epsilon=0.05",5,150,43,43,0.4603920434704471,0.17882839725938346,0.23503226146057993,-0.15176033553743506
EEM + Raman interpretable,ML,Weighted kNN,"k=3,distance",5,150,43,43,0.4612225422708862,0.15485645338108542,0.26257269980976405,-0.270335834414388
EEM + Raman full,ML,SVR RBF,"C=10,epsilon=0.05",5,150,1675,192,0.46253716881564777,0.07546370149204512,0.3154445011243176,-0.46416158073399866
EEM + Raman full,ML,Kernel ridge,"rbf,alpha=0.1",5,150,1675,192,0.4628278570288911,0.11153746608366435,0.2908927901588303,-0.3449650464597932
Processed Raman,ML,SVR RBF,"C=10,epsilon=0.05",5,150,175,175,0.4651400440328347,0.13888915302646743,0.31532338135720045,-0.30660198350357815
Processed Raman + PARAFAC,ML,XGBoost,"n=250,depth=2,eta=0.05",5,148,181,181,0.46806885798477593,0.08959945805501218,0.3022051581851194,-0.36236689774841235
EEM full + processed Raman,Chemometrics,PLSR,n_components=5,5,150,349,192,0.47226188022401194,0.13636584079236175,0.33941154162595083,-0.4176169503082902
EEM interpretable + PARAFAC,ML,Kernel ridge,"rbf,alpha=0.1",5,148,22,22,0.4738790241889392,0.0992204449581182,0.2993751735988249,-0.39509801832897773
Processed Raman,ML,Random forest,"n=250,max_depth=4",5,150,175,96,0.47513454411318856,0.10855097678010245,0.31392384678727414,-0.45025925434749636
Processed Raman + PARAFAC,ML,Weighted kNN,"k=3,distance",5,148,181,96,0.47537742424085866,0.0977262216554281,0.26868164881308393,-0.4148508716598549
EEM interpretable,ML,SVR RBF,"C=10,epsilon=0.05",5,148,16,16,0.47620156345254855,0.09156710619022294,0.28576794436664676,-0.4047185985881586
EEM PARAFAC scores,ML,Kernel ridge,"rbf,alpha=0.1",5,148,6,6,0.4762713895232681,0.1396171153394394,0.31274064880422836,-0.3131850196215568
Raman full,Chemometrics,PCR + Ridge,n_components=5,5,150,1501,192,0.4776535370226913,0.16030654946307596,0.3201184493760269,-0.31628800139123975
EEM PARAFAC scores,ML,Weighted kNN,"k=3,distance",5,148,6,6,0.47943200009153275,0.14045276530245862,0.2820145556353329,-0.358219523566989
EEM interpretable + PARAFAC,ML,XGBoost,"n=250,depth=2,eta=0.05",5,148,22,22,0.4809261847022051,0.08655158805382085,0.29806999223422564,-0.4442724828538843
Processed Raman,ML,XGBoost,"n=250,depth=2,eta=0.05",5,150,175,175,0.48171544429560936,0.10919870698983536,0.3112305422866178,-0.4942279387072427
EEM PARAFAC scores,ML,SVR RBF,"C=10,epsilon=0.05",5,148,6,6,0.48179142153331134,0.16736366206277684,0.26192887883592264,-0.28843885970386207
EEM interpretable,ML,Kernel ridge,"rbf,alpha=0.1",5,148,16,16,0.4821102233735095,0.09742308156030563,0.3113146519862886,-0.44791183091319686
EEM interpretable,ML,XGBoost,"n=250,depth=2,eta=0.05",5,148,16,16,0.4825547652176018,0.08504336488797949,0.2952041256393533,-0.46497945546233843
Raman full,ML,Random forest,"n=250,max_depth=4",5,150,1501,96,0.4832753420565881,0.13573135495065897,0.31808356478979494,-0.4040994828623427
Processed Raman,ML,Weighted kNN,"k=3,distance",5,150,175,96,0.48517019295307573,0.1459207388594231,0.290785672390579,-0.43015787256095983
Processed Raman,Chemometrics,PLSR,n_components=2,5,150,175,175,0.485364760618004,0.1287625822971534,0.3303169068420972,-0.4450418495695222
Raman full,ML,Weighted kNN,"k=3,distance",5,150,1501,96,0.48788290983991106,0.11831892338860323,0.25297288168179016,-0.48815608440816105
EEM + Raman full,Statistics,Ridge,alpha=10,5,150,1675,192,0.4892626124437376,0.10361694377443184,0.3474147201397269,-0.6477044641860966
EEM full + processed Raman,DL,ANN MLP,"hidden=(32,16),early_stop",5,150,349,96,0.4898639161051551,0.13808252116616893,0.34675378963638337,-0.5518916462054726
Raman full,ML,XGBoost,"n=250,depth=2,eta=0.05",5,150,1501,192,0.49363892429053174,0.1427794065264518,0.32161918661787514,-0.437830663995868
EEM interpretable,ML,Weighted kNN,"k=3,distance",5,148,16,16,0.49403751571658905,0.09595419905112137,0.27978200198090175,-0.5337655129346636
Raman full,ML,Kernel ridge,"rbf,alpha=0.1",5,150,1501,192,0.49441065734980805,0.11971036109089402,0.323363796115279,-0.5373840851434306
EEM interpretable + PARAFAC,ML,Weighted kNN,"k=3,distance",5,148,22,22,0.49582222641463447,0.10151109892891963,0.29182506430385136,-0.5571939017138929
Raman full,Chemometrics,PLSR,n_components=2,5,150,1501,192,0.5045127662957073,0.18482908186510452,0.32137373593370844,-0.47631462926602663
EEM full + processed Raman,Statistics,Ridge,alpha=10,5,150,349,192,0.5084438515344063,0.08258103482792013,0.37149236944375014,-0.9319706311365209
Raman full,Chemometrics,PLSR,n_components=5,5,150,1501,192,0.508681742019194,0.11251131195314501,0.347778242288285,-0.6547969125235868
Raman interpretable,Statistics,Ridge,alpha=10,5,150,27,27,0.5096859724403794,0.20741069778478702,0.32445954359733814,-0.46866236084994106
Raman full,ML,SVR RBF,"C=10,epsilon=0.05",5,150,1501,192,0.5098555787123936,0.11839529360553189,0.33418129443424627,-0.680652194410656
EEM unfolded full,DL,ANN MLP,"hidden=(32,16),early_stop",5,148,174,96,0.5393096919924263,0.22000809732406204,0.38536786910558635,-0.8207780443077597
Raman full,DL,ANN MLP,"hidden=(32,16),early_stop",5,150,1501,96,0.5448871105336839,0.15114245796122439,0.3699559470260202,-0.7879043233443487
EEM + Raman interpretable,Chemometrics,PLSR,n_components=5,5,150,43,43,0.5450884095811482,0.1558232381823006,0.3685953533656215,-0.8850786601884781
EEM + Raman interpretable,DL,ANN MLP,"hidden=(32,16),early_stop",5,150,43,43,0.5473011722285908,0.16132732569242036,0.38729116914832185,-0.7851668394481388
EEM + Raman interpretable,Statistics,Ridge,alpha=10,5,150,43,43,0.5562812047564096,0.22295388224351748,0.36028568033806085,-0.8963938950434793
EEM full + PARAFAC,Chemometrics,PLSR,n_components=2,5,148,180,180,0.5638360682093488,0.25555073158462066,0.2994971003844095,-0.8026931791529351
EEM + Raman full,DL,ANN MLP,"hidden=(32,16),early_stop",5,150,1675,96,0.5712302071219921,0.13890859394502514,0.3852643520823007,-1.0751795534001936
Processed Raman,Chemometrics,PLSR,n_components=5,5,150,175,175,0.5726020369520608,0.10692740257219725,0.4202768035118417,-1.3243234272172495
Raman interpretable,Statistics,Lasso,alpha=0.001,5,150,27,27,0.5862758011815817,0.3479091646130439,0.32433417808506804,-1.0645465936095053
Raman interpretable,Chemometrics,PLSR,n_components=5,5,150,27,27,0.5964200892072192,0.3470614285944283,0.33933229136349363,-1.1288303334827374
Raman full,Statistics,Ridge,alpha=10,5,150,1501,192,0.6039250839347675,0.1464302884132755,0.41876418929684134,-1.4527057725786225
Processed Raman,Statistics,Ridge,alpha=10,5,150,175,175,0.604236676333226,0.09527437240503356,0.46403796272481995,-1.7805132064632296
Raman interpretable,DL,ANN MLP,"hidden=(32,16),early_stop",5,150,27,27,0.6079220777692101,0.30916179747957745,0.32482629174110056,-1.2430195633984789
Raman interpretable,Statistics,Elastic Net,"alpha=0.001,l1_ratio=0.2",5,150,27,27,0.6081407519493676,0.3598211598554677,0.3312008501626052,-1.2289779144926893
Processed Raman,DL,ANN MLP,"hidden=(32,16),early_stop",5,150,175,96,0.6223057765782387,0.11432521039525446,0.4418282991683138,-1.6258685239254387
EEM unfolded full,Statistics,Lasso,alpha=0.001,5,148,174,174,0.6273805842743536,0.0729448483791103,0.4887007028190946,-2.033375649382193
EEM + Raman interpretable,Statistics,Lasso,alpha=0.001,5,150,43,43,0.6564944410942933,0.3867638109449739,0.38039796285909705,-1.8680942276448615
EEM unfolded full,Statistics,Elastic Net,"alpha=0.001,l1_ratio=0.2",5,148,174,174,0.6745361333681676,0.058290717683004804,0.5288528016893345,-2.643524925546064
EEM unfolded full,ML,SVR linear,"C=1,epsilon=0.05",5,148,174,174,0.6803773920342598,0.04397359494591536,0.5398966130483289,-2.6921902513060822
EEM + Raman interpretable,Statistics,Elastic Net,"alpha=0.001,l1_ratio=0.2",5,150,43,43,0.6851504753747337,0.4308261245893519,0.38809340862034636,-2.1549868282840374
EEM full + processed Raman,Statistics,Lasso,alpha=0.001,5,150,349,192,0.6892768613061416,0.11657463481040298,0.5332328960999428,-2.753652761628133
EEM full + processed Raman,ML,SVR linear,"C=1,epsilon=0.05",5,150,349,192,0.6901104556812909,0.11707367957807246,0.5313656156222415,-2.8305649872301513
Raman interpretable,Statistics,Linear regression,ols,5,150,27,27,0.6917286722003502,0.2998342814893199,0.4046019321538825,-1.8441755356633656
EEM + Raman full,Statistics,Lasso,alpha=0.001,5,150,1675,192,0.7132761559332883,0.1968238447898503,0.5032619398226776,-2.2168972330903864
EEM full + processed Raman,Statistics,Elastic Net,"alpha=0.001,l1_ratio=0.2",5,150,349,192,0.7307612834518363,0.1337107163942089,0.569659968663838,-3.334725009968269
EEM + Raman interpretable,Statistics,Linear regression,ols,5,150,43,43,0.737698391193758,0.3405904420167532,0.4404909422391997,-2.418341927060431
EEM + Raman full,ML,SVR linear,"C=1,epsilon=0.05",5,150,1675,192,0.7846034601007409,0.27660261513222567,0.5434330467669122,-2.9003125355658406
EEM + Raman full,Statistics,Elastic Net,"alpha=0.001,l1_ratio=0.2",5,150,1675,192,0.7957281576483795,0.25805461078452574,0.569064956814272,-3.124198695755281
Processed Raman + PARAFAC,Statistics,Ridge,alpha=10,5,148,181,181,0.8050801976963007,0.2336057787320133,0.4890995695837999,-3.8961809201920388
EEM full + PARAFAC,Statistics,Ridge,alpha=10,5,148,180,180,0.8096597751401312,0.7523597845534102,0.3786760071717535,-3.8373035299049922
Processed Raman + PARAFAC,DL,ANN MLP,"hidden=(32,16),early_stop",5,148,181,96,0.8566984610117467,0.6788891151816359,0.4804078347372749,-3.826611944183649
Raman full,Statistics,Lasso,alpha=0.001,5,150,1501,192,0.9413809617288651,0.1355556863096877,0.7035307946581328,-6.96130049663234
EEM interpretable + PARAFAC,Chemometrics,PLSR,n_components=5,5,148,22,22,0.9945103281121002,1.0171915539109884,0.40750889149985275,-5.923863361986173
Raman full,Statistics,Elastic Net,"alpha=0.001,l1_ratio=0.2",5,150,1501,192,1.0627509493216227,0.15779929356135694,0.7927361533772551,-9.649603941049095
Processed Raman,Statistics,Lasso,alpha=0.001,5,150,175,175,1.0691049973264692,0.10805780098341387,0.8254462457351209,-9.167769905724152
Raman full,ML,SVR linear,"C=1,epsilon=0.05",5,150,1501,192,1.0714976058431043,0.17432252828162353,0.7789381652200209,-10.231009470080156
EEM full + PARAFAC,DL,ANN MLP,"hidden=(32,16),early_stop",5,148,180,96,1.1092656184584986,1.4460829254936618,0.455519027092692,-9.79209981343206
EEM PARAFAC scores,Chemometrics,PCR + Ridge,n_components=5,5,148,6,6,1.1607688137641996,1.1144215992254172,0.42667059625418063,-8.23140213232658
EEM interpretable + PARAFAC,ML,SVR linear,"C=1,epsilon=0.05",5,148,22,22,1.1684171859359385,1.5747030916033178,0.3376327588668187,-12.376921034706534
EEM PARAFAC scores,ML,SVR linear,"C=1,epsilon=0.05",5,148,6,6,1.1768158466796612,1.1121430647565815,0.34118293125690197,-8.171672394981485
EEM + Raman full,Statistics,Linear regression,ols,5,150,1675,96,1.1870126989611176,0.4174718945292115,0.9133208647739839,-8.630608704968003
EEM unfolded full,Statistics,Linear regression,ols,5,148,174,96,1.1896041618441637,0.10065235121249105,0.9336631668543675,-9.520324009029876
EEM PARAFAC scores,Statistics,Lasso,alpha=0.001,5,148,6,6,1.1982708080202809,1.122820510614472,0.4315924369984801,-8.419847892607386
Processed Raman,ML,SVR linear,"C=1,epsilon=0.05",5,150,175,175,1.265370534877301,0.10535058107843956,0.9762595086310538,-13.16788226488211
Processed Raman,Statistics,Elastic Net,"alpha=0.001,l1_ratio=0.2",5,150,175,175,1.2766519989520133,0.13685034213806924,0.9803460712649417,-14.019771637972315
Processed Raman + PARAFAC,Chemometrics,PLSR,n_components=2,5,148,181,181,1.3459931098428644,1.2604987316454443,0.5124213211628679,-11.25065159610706
Raman full,Statistics,Linear regression,ols,5,150,1501,96,1.3469138639591907,0.2414795668732736,0.9882248538257634,-16.677441473785237
EEM full + PARAFAC,Statistics,Lasso,alpha=0.001,5,148,180,180,1.422900645464194,1.6237797835184473,0.6141822968245949,-16.423578854751074
EEM PARAFAC scores,Statistics,Elastic Net,"alpha=0.001,l1_ratio=0.2",5,148,6,6,1.4364105261754911,1.4455926733058975,0.47100158676091086,-13.240345291631408
EEM PARAFAC scores,Statistics,Linear regression,ols,5,148,6,6,1.5205607647915462,1.5599494819593525,0.4848644334517271,-15.187866960324794
EEM full + processed Raman,Statistics,Linear regression,ols,5,150,349,96,1.5492232056829118,0.7448136224449295,1.0736494106659573,-13.807840250143787
Processed Raman + PARAFAC,Statistics,Linear regression,ols,5,148,181,96,1.6022260801432175,0.7274991659240864,1.1519212788360527,-20.755030443825852
EEM full + PARAFAC,Statistics,Elastic Net,"alpha=0.001,l1_ratio=0.2",5,148,180,180,1.7961139531260895,2.0260458833059234,0.710129321552055,-25.90039087406339
Processed Raman,Statistics,Linear regression,ols,5,150,175,96,1.820426783108077,0.4669625125870778,1.4138606032643992,-25.394887717280103
EEM PARAFAC scores,Chemometrics,PLSR,n_components=5,5,148,6,6,1.83928236383565,2.5408027653289036,0.5377124697038004,-32.59023851064827
EEM PARAFAC scores,Chemometrics,PLSR,n_components=2,5,148,6,6,1.9780291274965471,2.2234279618485884,0.5648852901070198,-28.956687657730317
EEM interpretable + PARAFAC,Chemometrics,PLSR,n_components=2,5,148,22,22,2.109212919698138,2.3968610889602484,0.5893528509605142,-33.414070847772976
EEM interpretable + PARAFAC,Chemometrics,PCR + Ridge,n_components=5,5,148,22,22,2.1656925713554322,2.441654846213102,0.5984402202640056,-34.845470933310835
EEM interpretable + PARAFAC,Statistics,Lasso,alpha=0.001,5,148,22,22,2.2162460717303802,2.6103025720714705,0.5848634115343645,-37.076817012834105
EEM full + PARAFAC,ML,SVR linear,"C=1,epsilon=0.05",5,148,180,180,2.3727845461228134,2.357756509951038,0.8028669978894645,-38.42679679258586
EEM interpretable + PARAFAC,Statistics,Elastic Net,"alpha=0.001,l1_ratio=0.2",5,148,22,22,2.472355496303383,3.011683551370588,0.6276041515013466,-47.83574686477507
Processed Raman + PARAFAC,Chemometrics,PLSR,n_components=5,5,148,181,181,2.533010005208074,2.777638004866916,0.779671786334017,-48.14290582043285
EEM full + PARAFAC,Chemometrics,PLSR,n_components=5,5,148,180,180,2.5756425870876454,3.1713768974192074,0.6429323281641981,-55.18734477424492
EEM interpretable + PARAFAC,Statistics,Linear regression,ols,5,148,22,22,2.8065110215100795,3.5031504171213887,0.682634437556779,-63.43254956618845
EEM full + PARAFAC,Statistics,Linear regression,ols,5,148,180,96,2.8356344327592065,4.033969922243746,1.1628481895865128,-76.3981697330119
Processed Raman + PARAFAC,ML,SVR linear,"C=1,epsilon=0.05",5,148,181,181,2.8647534390742253,2.3804810346257663,0.9493456132293258,-52.13268509505464
EEM interpretable + PARAFAC,DL,ANN MLP,"hidden=(32,16),early_stop",5,148,22,22,2.876846907348196,3.589728725353611,0.709321314510529,-66.6792664710513
Processed Raman + PARAFAC,Statistics,Lasso,alpha=0.001,5,148,181,181,3.7610463017212923,3.660607065899902,1.121391463953001,-99.37594805582526
Processed Raman + PARAFAC,Statistics,Elastic Net,"alpha=0.001,l1_ratio=0.2",5,148,181,181,4.060394261725734,3.6677157156223625,1.2216060888226337,-111.98249988267278
EEM PARAFAC scores,DL,ANN MLP,"hidden=(32,16),early_stop",5,148,6,6,5.475451819263248,7.948147252538775,1.1655325095400264,-286.45533038902005
