feature_strategy,model_category,model,config,n_splits,n_samples,n_features_raw,n_features_selected,mean_rmse,std_rmse,mean_mae,mean_r2
EEM unfolded full,Statistics,Ridge,alpha=10,5,148,174,174,0.41248854660287104,0.036822054385741085,0.31385559715306527,-0.24535805171936928
EEM interpretable + PARAFAC,ML,Extra trees,"n=250,max_depth=4",5,148,22,22,0.41409718367517573,0.0935371685940811,0.28955264151861665,-0.058489275950550666
EEM full + processed Raman,ML,Weighted kNN,"k=3,distance",5,150,349,96,0.41416433422349186,0.12127493985945967,0.27432158216108815,-0.0916628592753009
EEM full + processed Raman,Chemometrics,PCR + Ridge,n_components=5,5,150,349,192,0.4142133931036843,0.09611448183461992,0.2875214643109273,-0.1434351109384301
EEM + Raman full,ML,Weighted kNN,"k=3,distance",5,150,1675,96,0.42004210065228503,0.1376758082271953,0.2567624681712325,-0.11915015921201648
Raman interpretable,ML,Random forest,"n=250,max_depth=4",5,150,27,27,0.42052021808016543,0.14484154766979868,0.2805202450655061,-0.028919714208442925
EEM + Raman interpretable,ML,SVR RBF,"C=10,epsilon=0.05",5,150,43,43,0.4210930635667312,0.13479611712445225,0.26393484800940825,-0.049621375733872465
Raman interpretable,ML,Extra trees,"n=250,max_depth=4",5,150,27,27,0.4292217384656059,0.1304406138702178,0.29472519994220514,-0.08964351525697815
EEM interpretable,ML,Extra trees,"n=250,max_depth=4",5,148,16,16,0.4304844978606697,0.09634316391695256,0.2847970564056916,-0.12442995793003264
EEM full + processed Raman,Chemometrics,PLSR,n_components=2,5,150,349,192,0.43084779115622174,0.09592776655973055,0.30375634731530177,-0.24690183205427826
EEM PARAFAC scores,ML,Random forest,"n=250,max_depth=4",5,148,6,6,0.4308605035093079,0.0792334662961991,0.28532425973301234,-0.16730407585878876
EEM + Raman interpretable,ML,Random forest,"n=250,max_depth=4",5,150,43,43,0.43141168657251916,0.13487369734452445,0.2895324654714787,-0.12999779978399412
Processed Raman + PARAFAC,Chemometrics,PCR + Ridge,n_components=5,5,148,181,181,0.43245692472747316,0.1065819834085855,0.29928508316332847,-0.1275772669791489
Processed Raman + PARAFAC,ML,Extra trees,"n=250,max_depth=4",5,148,181,96,0.4326434686544113,0.11197032113756682,0.29859595891763263,-0.11036025836969943
EEM + Raman interpretable,ML,Kernel ridge,"rbf,alpha=0.1",5,150,43,43,0.43300061289338904,0.11012096047205228,0.2857454711302119,-0.23345783163855865
Raman interpretable,ML,SVR RBF,"C=10,epsilon=0.05",5,150,27,27,0.43308832432747735,0.16720223344991092,0.21989606819320665,-0.02673498064953488
EEM full + processed Raman,ML,SVR RBF,"C=10,epsilon=0.05",5,150,349,192,0.4338660128826756,0.12001557823464669,0.29452229774106864,-0.1414953601768772
EEM + Raman full,Chemometrics,PCR + Ridge,n_components=5,5,150,1675,192,0.4346922294011276,0.11814436687673698,0.2972161639375752,-0.17692253714082962
EEM interpretable + PARAFAC,ML,Random forest,"n=250,max_depth=4",5,148,22,22,0.43516399764635755,0.0734269610902178,0.28346138957579853,-0.22036389011225416
EEM + Raman full,Chemometrics,PLSR,n_components=2,5,150,1675,192,0.4354510044529201,0.09398543011957097,0.3040215013741341,-0.2896693919525582
