5.328057059275239857e-03,2.525800768912426775e-01,4.097558365164800584e-03,6.521754726256819013e-02,1.649465578487988859e-01,4.877262719308907424e-01
8.979333808734030198e-03,2.802260423248197907e-01,9.727047928344877484e-03,1.097733623511587958e-01,2.858342718826380469e-01,8.728550490061282030e-01
3.138106595187811071e-02,9.261083467718987938e-01,7.434904934913964814e-02,9.918147401368145877e-01,5.227535302176806731e-01,1.572091082571344667e-02
1.261262674193282252e-01,5.286421038614209463e-08,6.372320852611906838e-01,6.522578240915793255e-06,7.860153616285799894e-01,4.303544809210837944e-08
2.027571022070354390e-01,1.214707120341313775e-10,7.670046158495472666e-01,4.064449102612209861e-05,8.678335525116498317e-09,4.900666163752489366e-07
8.773331387088436628e-01,4.903286975394156156e-25,4.684107156893120908e-05,3.713588355055408418e-17,7.969085948705101960e-24,7.668381001168330610e-34
4.086100883764320901e-01,3.150804931022056602e-20,3.725079718314450088e-23,6.260879527794963001e-112,7.012274125001118132e-64,9.975861051306734032e-70
6.818417841595285356e-02,1.198234711116679979e-33,8.176942133475031252e-35,6.220490472009116294e-70,3.433743859490710363e-107,2.410551279406130271e-53
2.188643271933803092e-02,2.019144280064264389e-40,3.414130014026904847e-61,3.306977554240727649e-82,1.878382628927128451e-133,5.700145715555379904e-36
7.711073638685235487e-03,2.524250135698311534e-37,1.180967736376673440e-78,1.972921717182814810e-75,1.143094514884987571e-166,4.279200698069500804e-36
4.463000512539076238e-03,3.665390304890170063e-33,7.323574103296055295e-103,1.269240884082135417e-75,9.956993763911710573e-157,1.000977681805473868e-19
1.908363086975013289e-03,1.699359901729350327e-49,2.011556273746881961e-137,3.925526048812761328e-56,1.557856355545798553e-150,3.364521511596807000e-27
9.678557308760534677e-04,5.168545321923643445e-25,3.421646648000654915e-147,3.933220257642032287e-62,2.493119011713128819e-137,4.233436469930832403e-09
4.877455845053861897e-04,1.760785369886347028e-56,4.127596741311020825e-154,1.332922434127788880e-66,3.800804975262956490e-120,7.447965870694088187e-06
