rank,parafac_backend,scatter_mask,reconstruction_error,split_half_stability,prediction_rmse_mean,rhamnose_score_rmse,xylose_score_rmse,glucose_score_rmse,selected_rank
2,numpy_cp_als,primary_nm=20.0;second_order_nm=25.0,3.224822,0.49878435,0.68150897,0.46531016,0.71307985,0.86613689,True
3,numpy_cp_als,primary_nm=20.0;second_order_nm=25.0,3.224822,0.3325229,0.68150897,0.46531016,0.71307985,0.86613689,False
4,numpy_cp_als,primary_nm=20.0;second_order_nm=25.0,3.224822,0.24939217,0.68150897,0.46531016,0.71307985,0.86613689,False
5,numpy_cp_als,primary_nm=20.0;second_order_nm=25.0,3.224822,0.19951374,0.68150897,0.46531016,0.71307985,0.86613689,False
6,numpy_cp_als,primary_nm=20.0;second_order_nm=25.0,3.224822,0.16626145,0.68150897,0.46531016,0.71307985,0.86613689,False
7,numpy_cp_als,primary_nm=20.0;second_order_nm=25.0,3.224822,0.14250981,0.68150897,0.46531016,0.71307985,0.86613689,False
8,numpy_cp_als,primary_nm=20.0;second_order_nm=25.0,3.224822,0.12469609,0.68150897,0.46531016,0.71307985,0.86613689,False
