2.285672055018403773e-02,9.904720759810430443e-05,3.682481062527675807e-31,4.507878227988541819e-02,5.376397206977894844e-24,4.144695530016907076e-02
1.924771640151944074e-02,6.520412337253355132e-05,4.268635997143165980e-30,3.391134665689991140e-02,2.971024584466617079e-19,2.907924683427787205e-02
2.703367045854894110e-02,2.656304921921537630e-05,9.937386385801022435e-33,5.617080831264852775e-02,2.906323459977282483e-28,4.942879482878208969e-02
2.551605893874111033e-02,8.822069325749804446e-05,4.367003287087127994e-35,4.812029308319804022e-02,2.187108652522686903e-24,3.736458835199886475e-02
2.415960335092980082e-02,4.838965252124821648e-05,4.376952892325318357e-32,5.143923038772582612e-02,1.844395210457336916e-26,4.200415700090912724e-02
2.436223524230703846e-02,7.725826985805865361e-05,1.293380801135513526e-36,4.495911062969165650e-02,2.851351430351058200e-24,3.758515707038830034e-02
2.379609121732529850e-02,3.948730280505766984e-05,3.648770082345875834e-33,4.842246416837211326e-02,9.699813031489742432e-26,4.147899488199664753e-02
2.261335882472925371e-02,1.246684373646741876e-04,7.443390170740912055e-32,4.263614178284014233e-02,1.046018476666153930e-23,3.561885857241677694e-02
2.157795348077768544e-02,1.032031721929955879e-04,6.994954561127438767e-32,4.088872971341068335e-02,1.680936593758786655e-22,3.473805659328350892e-02
1.851053469015888006e-02,1.392506393440637986e-04,2.525825792983747017e-28,3.699299774719728984e-02,9.141960065007073851e-21,2.989911637250923515e-02
4.534974283118119176e-02,5.011810485563832638e-04,1.752978896215920663e-43,6.654488513624420842e-02,8.998735100977867462e-28,4.350617304197657714e-02
3.834129184309869459e-02,4.163979941712599555e-04,1.954512604515555662e-38,4.515236605738028042e-02,6.722801105982817870e-20,3.064092131842516623e-02
1.621067704545855331e-02,1.106604674646256847e-04,1.091377134776409831e-22,2.600243592342271412e-02,3.982617512555458198e-09,2.748719957664268534e-02
2.698894071058268937e-02,1.582368637084563935e-03,1.908650833276031250e-34,3.376146527831887928e-02,7.810339663415702129e-15,2.897947275597405337e-02
2.144050406081517493e-02,2.254373076182175639e-04,6.648359044425661835e-28,3.620210860680470738e-02,1.047243147707414901e-13,2.859535894432382180e-02
2.558633637319177381e-02,4.678038790764784739e-04,4.563751190071448694e-33,3.900637536832000235e-02,4.934940888062727262e-17,2.963985945458866289e-02
4.631345221246416927e-02,2.268763368011310799e-04,2.546775847736972969e-40,6.907775625178372292e-02,9.548706160417434295e-28,4.753764205686137473e-02
4.558036919442127327e-02,1.698149902516931287e-04,7.094014752363875503e-39,6.834140172524005852e-02,2.501763415448326295e-26,4.416279187933579847e-02
4.066797460164038591e-02,2.378036076930873725e-05,7.259980242681602581e-38,6.042797076996272304e-02,2.568487958472798943e-25,4.132756480128973314e-02
4.608278530563217346e-02,1.191533085187882374e-04,5.957514869951921590e-37,8.207521857689065170e-02,7.558879258385377720e-31,5.351822823374215166e-02
4.021504284843521043e-02,1.999749415639332732e-04,2.099052204774668176e-42,5.471971537414863779e-02,3.438954126206450619e-24,3.277256355667478027e-02
2.686234028110052324e-02,1.760871210435878149e-03,8.192661724208006705e-34,4.365379615792799872e-02,2.641751287675112050e-19,3.312493254126173958e-02
2.189488794847787440e-02,7.148458477484006439e-05,5.035072637288279461e-28,3.819322985236680429e-02,6.266765597698969525e-16,2.937394485053969329e-02
1.975586148958849084e-02,3.953451025901405557e-04,2.709446772478730951e-25,3.479827542623038089e-02,4.901026424532368834e-14,2.815781121421908478e-02
1.937564010428365416e-02,3.635135197561382894e-04,6.742141393206232078e-25,3.744672404263342524e-02,6.694416012622171946e-14,2.850208522781165835e-02
2.251647119594678628e-02,7.432475824382423239e-04,2.401747380950423498e-30,3.934570331657830100e-02,1.010851987778423240e-16,2.976831391743570143e-02
3.828514588390477535e-02,3.474357429696264647e-04,3.986898216637162614e-40,5.623261217351553654e-02,3.029310875200244739e-25,4.131869613427888860e-02
4.006530651545960747e-02,2.896401396680029373e-04,2.887076605075312754e-40,5.747871774516358917e-02,9.502472336067892518e-26,4.278239583963370368e-02
3.029423199242251008e-02,1.257897791621461099e-03,3.218080253991747909e-34,4.437483019733418771e-02,9.619374310265576085e-20,3.118616621321569291e-02
3.132121031227477759e-02,1.623750829582773763e-04,2.572680171255516013e-34,4.731082965739184104e-02,1.338779048234140506e-20,3.508688825404010503e-02
5.265728848500099424e-02,8.168802989364515191e-04,1.223234254171645968e-36,9.405721546480202977e-02,3.589378368174865386e-30,6.701366313980972045e-02
2.698773649671131966e-02,1.547258346492866765e-04,6.009119716435991833e-31,4.557768436517563304e-02,6.822032577849537651e-20,3.328201212339269854e-02
2.682949198110311240e-02,1.065789532922213205e-04,7.247345927936860794e-33,4.081167068265655062e-02,2.102870918591379109e-19,2.934353206797106137e-02
2.149297126103442285e-02,3.333833226795161124e-04,1.648966119641724917e-28,3.329424651091335979e-02,2.656037429000909436e-13,2.716359530757308030e-02
1.909044288644290085e-02,4.044373149600609114e-04,7.123479279550584507e-26,3.323706679891449967e-02,3.028833935731896473e-13,2.756183115003990949e-02
