F11,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1673,2455,1805,782,530,292,264,322,392,440,460,452,394,322,258,212,178,149
260,11908,3628,2533,987,581,342,340,452,581,693,756,735,664,553,450,369,310,267
280,3443748,13072,2674,1204,722,344,276,336,451,556,630,645,596,513,431,365,316,272
300,6357064,2967166,1803,750,581,325,264,279,336,394,438,454,423,373,318,275,238,214
320,1750967,OVER,3299021,1062,421,299,261,243,236,229,219,206,183,157,134,119,106,101
340,194,2770429,OVER,OVER,6521,306,270,245,219,180,152,107,82,69,43,39,40,46
360,174,277,4387308,OVER,OVER,8867,275,264,229,201,164,126,100,63,47,35,29,46
380,335,141,1768,4052829,OVER,OVER,1755,213,204,189,162,127,92,66,52,47,40,58
400,356,219,81,559,4136628,OVER,OVER,428,184,180,169,131,108,76,45,47,32,65
420,353,158,100,113,133,1593852,OVER,OVER,209,146,126,121,82,71,56,38,48,90
440,276,193,48,54,65,40,OVER,OVER,OVER,178,94,107,81,64,43,42,37,71
460,222,118,107,53,53,28,256,OVER,OVER,OVER,122,77,68,52,37,40,30,70
480,215,49,105,110,63,26,41,2519,OVER,OVER,OVER,98,61,51,44,35,32,63
500,361,262,153,107,114,37,38,42,2910,OVER,OVER,OVER,93,42,41,45,44,68
