5.003444e+002,4.783472e+001
5.013087e+002,4.480063e+001
5.022729e+002,4.354994e+001
5.032371e+002,4.376730e+001
5.042014e+002,4.335495e+001
5.051656e+002,4.247035e+001
5.061298e+002,4.184673e+001
5.070941e+002,4.216862e+001
5.080583e+002,4.362988e+001
5.090225e+002,4.451233e+001
5.099868e+002,4.433415e+001
5.109510e+002,4.425684e+001
5.119152e+002,4.542421e+001
5.128795e+002,4.804805e+001
5.138437e+002,4.896521e+001
5.148079e+002,4.508646e+001
5.157722e+002,4.120486e+001
5.167364e+002,3.961005e+001
5.177006e+002,4.027705e+001
5.186649e+002,4.103146e+001
5.196291e+002,3.885938e+001
5.205933e+002,3.582431e+001
5.215576e+002,3.412685e+001
5.225218e+002,3.385460e+001
5.234860e+002,3.415610e+001
5.244503e+002,3.361510e+001
5.254145e+002,3.203598e+001
5.263787e+002,3.114421e+001
5.273430e+002,3.119948e+001
5.283072e+002,3.175629e+001
5.292714e+002,3.219684e+001
5.302357e+002,3.233653e+001
5.311999e+002,3.231456e+001
5.321641e+002,3.203958e+001
5.331284e+002,3.199532e+001
5.340926e+002,3.285608e+001
5.350568e+002,3.491473e+001
5.360211e+002,3.618611e+001
5.369853e+002,3.418710e+001
5.379495e+002,3.128053e+001
5.389138e+002,2.930211e+001
5.398780e+002,2.893971e+001
5.408422e+002,2.954022e+001
5.418065e+002,2.940463e+001
5.427707e+002,2.864481e+001
5.437349e+002,2.800131e+001
5.446992e+002,2.764023e+001
5.456634e+002,2.749928e+001
5.466276e+002,2.739883e+001
5.475919e+002,2.719621e+001
5.485561e+002,2.737657e+001
5.495203e+002,2.859583e+001
5.504846e+002,2.989458e+001
5.514488e+002,2.979727e+001
5.524130e+002,2.722046e+001
5.533773e+002,2.465382e+001
5.543415e+002,2.341637e+001
5.553057e+002,2.284662e+001
5.562700e+002,2.222523e+001
5.572342e+002,2.109663e+001
5.581984e+002,1.981963e+001
5.591627e+002,1.944894e+001
5.601269e+002,1.972969e+001
5.610911e+002,2.009857e+001
5.620554e+002,2.025397e+001
5.630196e+002,2.013470e+001
5.639838e+002,1.957764e+001
5.649481e+002,1.801009e+001
5.659123e+002,1.684908e+001
5.668765e+002,1.656047e+001
5.678408e+002,1.701379e+001
5.688050e+002,1.769817e+001
5.697692e+002,1.873553e+001
5.707335e+002,1.924484e+001
5.716977e+002,1.914705e+001
5.726619e+002,1.845445e+001
5.736262e+002,1.694034e+001
5.745904e+002,1.424370e+001
5.755546e+002,1.168864e+001
5.765189e+002,1.094777e+001
5.774831e+002,1.155463e+001
5.784473e+002,1.337656e+001
5.794116e+002,1.634998e+001
5.803758e+002,2.025919e+001
5.813400e+002,2.083702e+001
5.823043e+002,1.705551e+001
5.832685e+002,1.336572e+001
5.842327e+002,1.120473e+001
5.851970e+002,1.052118e+001
5.861612e+002,1.050357e+001
5.871254e+002,1.199727e+001
5.880897e+002,1.297827e+001
5.890539e+002,1.271365e+001
5.900181e+002,1.167824e+001
5.909824e+002,1.067358e+001
5.919466e+002,1.012497e+001
5.929108e+002,1.010262e+001
5.938751e+002,1.082544e+001
5.948393e+002,1.188348e+001
5.958035e+002,1.260844e+001
5.967678e+002,1.253983e+001
5.977320e+002,1.188243e+001
5.986962e+002,1.202135e+001
5.996605e+002,1.287018e+001
6.006247e+002,1.336478e+001
6.015889e+002,1.302338e+001
6.025532e+002,1.189383e+001
6.035174e+002,1.051547e+001
6.044816e+002,7.986282e+000
6.054459e+002,6.276062e+000
6.064101e+002,5.756561e+000
6.073743e+002,6.233627e+000
6.083386e+002,7.490845e+000
6.093028e+002,9.950668e+000
6.102670e+002,1.215759e+001
6.112313e+002,1.320178e+001
6.121955e+002,1.330070e+001
6.131597e+002,1.249196e+001
6.141240e+002,1.083691e+001
6.150882e+002,8.762268e+000
