B7,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1508,3567,3303,1571,930,409,275,277,313,348,364,359,314,262,214,169,137,131
260,17578,5201,4381,1957,1085,498,369,422,522,606,666,681,604,512,416,343,290,256
280,4179496,22728,6698,3257,1786,651,351,343,410,493,558,584,540,475,402,336,292,263
300,6605913,3216930,4193,1876,1212,527,320,274,307,357,387,404,382,339,292,253,221,212
320,1607806,OVER,3317894,1602,597,431,327,246,224,206,198,197,171,145,128,112,105,114
340,285,2291715,OVER,OVER,10172,522,398,294,234,191,145,121,93,75,60,52,44,76
360,232,263,3527821,OVER,OVER,12363,462,371,325,272,217,161,128,85,62,48,49,98
380,344,218,1406,3032512,OVER,OVER,2850,301,284,250,214,175,136,92,75,59,52,123
400,561,155,152,526,3142890,OVER,OVER,514,222,220,195,165,141,99,79,63,70,142
420,365,246,157,130,120,1192609,OVER,OVER,268,185,171,160,130,106,72,79,67,197
440,230,170,124,115,108,38,OVER,OVER,OVER,224,115,110,103,76,59,65,70,187
460,309,189,103,48,53,25,184,OVER,OVER,OVER,150,91,82,67,46,47,48,182
480,311,201,139,59,84,33,40,1939,OVER,OVER,OVER,118,65,61,53,52,47,163
500,375,267,259,177,101,49,29,49,2002,OVER,OVER,OVER,127,62,52,52,59,152
