C8,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1478,3094,2697,1260,787,360,247,256,283,311,317,315,280,234,192,158,132,120
260,20175,5140,4204,1822,1012,459,346,393,489,577,626,630,580,477,392,324,273,240
280,4704596,26665,5863,2826,1557,580,332,335,400,478,541,565,526,461,392,320,279,262
300,OVER,OVER,3845,1657,1075,494,314,276,306,346,385,400,378,331,286,247,222,209
320,1705239,OVER,3899345,2316,633,443,326,253,225,215,206,196,174,161,134,116,111,121
340,457,2306917,OVER,OVER,17734,518,404,321,256,213,162,131,107,79,69,59,59,87
360,492,379,3375984,OVER,OVER,23913,491,424,370,307,242,189,140,96,83,64,68,97
380,516,236,1258,2832613,OVER,OVER,5748,338,323,292,249,208,160,116,94,76,73,114
400,803,359,291,520,2842978,OVER,OVER,883,272,280,248,214,160,135,110,101,94,175
420,752,332,304,150,177,1034921,OVER,OVER,458,200,205,182,159,126,99,109,98,198
440,576,217,216,162,130,69,1288351,OVER,OVER,368,134,157,127,99,77,69,86,194
460,413,301,233,153,103,57,186,OVER,OVER,OVER,214,112,109,94,74,63,71,177
480,401,336,254,121,145,74,53,1650,OVER,OVER,OVER,169,90,80,74,55,67,168
500,824,491,270,177,159,72,52,55,2093,OVER,OVER,OVER,170,82,82,68,75,149
