F8,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1805,4355,3952,1869,1103,470,311,318,369,403,422,410,366,309,247,199,162,146
260,12358,5414,4475,1959,1086,474,339,378,465,536,596,601,538,446,363,301,245,228
280,4464197,17988,6133,3005,1665,599,335,306,367,440,486,517,475,412,347,293,248,228
300,OVER,OVER,3424,1731,1122,488,288,254,282,314,351,368,341,305,263,226,191,188
320,1931668,OVER,3802665,1110,534,357,264,209,198,179,180,171,162,139,118,103,90,106
340,267,2538497,OVER,OVER,8220,413,319,251,210,166,145,114,91,72,59,50,49,72
360,234,249,3532139,OVER,OVER,11916,358,323,279,243,199,161,129,94,72,61,60,97
380,238,157,1305,2989864,OVER,OVER,2094,229,222,210,192,157,124,98,76,67,68,119
400,362,230,152,433,2839270,OVER,OVER,404,182,184,173,162,122,97,89,68,73,151
420,287,302,122,86,107,1043374,OVER,OVER,228,138,148,136,122,100,83,92,96,196
440,300,162,89,73,70,42,1278909,OVER,OVER,179,106,111,95,81,67,60,83,200
460,371,162,67,137,45,36,177,OVER,OVER,OVER,136,86,86,71,50,60,50,188
480,261,171,107,73,69,34,30,1508,OVER,OVER,OVER,119,64,60,49,36,40,134
500,484,260,179,150,105,38,23,31,1999,OVER,OVER,OVER,126,56,59,62,54,127
