D1,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1551,2630,2115,965,663,368,338,401,489,565,597,582,519,420,346,276,239,214
260,13692,3581,2665,1038,624,360,347,452,598,705,776,774,696,582,484,402,337,293
280,3405033,18666,2368,1102,692,335,278,343,451,553,635,655,615,535,448,374,333,289
300,6012113,3256629,1869,703,554,322,250,262,311,378,423,445,417,365,318,277,251,222
320,1567350,OVER,3757173,1517,490,337,255,218,200,204,201,198,182,160,139,119,113,115
340,525,2684462,OVER,OVER,11769,359,288,219,185,148,127,105,86,63,61,48,53,59
360,459,417,4132251,OVER,OVER,14097,347,286,254,213,166,134,97,81,65,52,49,60
380,637,297,1875,3691079,OVER,OVER,2879,259,237,228,185,148,114,92,67,60,56,83
400,789,401,333,692,3744438,OVER,OVER,537,223,221,187,149,133,101,84,73,72,106
420,681,366,264,234,187,1451504,OVER,OVER,294,181,154,144,122,95,82,72,62,91
440,489,249,219,145,90,84,OVER,OVER,OVER,233,117,110,98,69,62,56,49,90
460,519,315,228,151,137,53,266,OVER,OVER,OVER,146,94,83,65,53,51,57,81
480,646,314,276,218,152,73,61,2412,OVER,OVER,OVER,129,76,62,59,55,53,73
500,920,570,356,228,187,106,89,65,2191,OVER,OVER,OVER,139,85,67,70,64,113
