E9,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1696,2552,1799,774,507,283,259,311,377,425,443,435,374,312,248,205,169,144
260,18094,3791,2608,1013,586,342,333,432,561,669,719,714,646,533,437,353,303,261
280,4072319,21875,2756,1211,716,353,278,336,439,536,607,629,580,495,417,356,306,268
300,6685691,3572812,2143,788,587,357,285,289,340,394,438,442,419,362,316,273,233,212
320,1669576,OVER,3807592,1600,477,358,297,262,257,247,232,214,187,161,136,118,102,98
340,244,2531401,OVER,OVER,10770,346,306,271,237,200,163,124,90,69,54,44,37,44
360,292,319,3995644,OVER,OVER,12483,329,304,274,239,191,149,111,81,54,41,32,44
380,352,46,1784,3522321,OVER,OVER,2701,254,245,230,203,155,120,81,63,46,50,64
400,255,259,161,568,3666186,OVER,OVER,552,216,222,209,167,131,91,75,51,45,68
420,238,144,103,103,129,1423600,OVER,OVER,297,179,169,141,117,89,76,53,47,71
440,357,117,37,78,76,39,OVER,OVER,OVER,240,117,112,97,64,56,46,40,79
460,327,118,90,40,56,29,245,OVER,OVER,OVER,149,84,81,55,41,43,39,58
480,192,172,139,53,70,29,31,2175,OVER,OVER,OVER,119,62,52,33,32,26,59
500,442,286,163,110,106,41,30,23,2759,OVER,OVER,OVER,98,59,56,47,33,84
