C2,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1874,3996,3592,1726,1008,452,316,329,380,425,443,436,387,326,258,214,181,162
260,16531,5018,4200,1805,1018,451,341,391,476,566,608,627,566,475,387,320,265,236
280,OVER,22497,5733,2794,1543,571,325,320,383,455,512,540,504,437,368,311,270,239
300,OVER,OVER,3319,1654,1061,474,291,256,285,329,351,379,362,313,271,237,206,198
320,2397686,OVER,OVER,1246,563,384,279,225,197,186,182,177,165,143,118,108,99,109
340,401,3267106,OVER,OVER,9175,446,347,271,217,167,131,112,92,75,51,48,47,71
360,312,349,4694012,OVER,OVER,12792,379,322,276,226,186,151,111,74,58,51,53,89
380,386,185,1502,3814243,OVER,OVER,2204,236,229,198,173,142,110,95,66,55,58,104
400,466,358,184,548,3505460,OVER,OVER,447,185,181,163,144,113,87,82,77,67,131
420,519,306,314,164,192,1271647,OVER,OVER,234,138,147,124,113,94,77,86,90,177
440,339,275,177,129,93,50,OVER,OVER,OVER,213,93,105,92,70,59,69,67,179
460,482,277,268,148,82,44,193,OVER,OVER,OVER,165,86,86,76,55,51,51,145
480,552,208,212,142,104,68,1278,OVER,OVER,OVER,54140,74,61,54,47,43,103,129
500,678,367,228,187,160,70,42,60,1877,OVER,OVER,OVER,141,69,67,56,68,146
