B2,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1724,3453,2882,1355,848,419,328,371,447,510,531,525,468,385,304,254,208,184
260,13576,4337,3358,1369,785,402,353,433,549,645,709,712,644,538,441,368,303,264
280,3399558,18055,3924,1863,1078,457,311,339,432,524,592,620,566,487,411,356,304,269
300,5890171,2682946,2623,1102,794,412,289,275,318,370,409,428,402,347,303,262,232,210
320,1519752,OVER,2696456,1679,532,382,289,240,220,215,209,197,186,155,137,116,114,109
340,410,2243693,OVER,OVER,11497,443,342,278,216,186,153,124,91,71,58,58,51,56
360,442,321,3347370,OVER,OVER,13587,412,357,305,260,200,165,119,87,75,51,55,68
380,415,195,1578,2975047,OVER,OVER,3533,283,287,250,202,165,140,93,72,59,51,69
400,585,400,235,529,3030435,OVER,OVER,720,250,242,211,185,142,115,90,72,67,110
420,590,365,233,161,166,1147224,OVER,OVER,344,184,177,159,123,110,86,81,72,124
440,396,289,164,136,99,55,OVER,OVER,OVER,265,129,133,100,93,73,58,60,117
460,543,225,176,121,116,46,207,OVER,OVER,OVER,161,106,97,74,58,45,53,103
480,540,294,173,119,117,59,41,1727,OVER,OVER,OVER,128,69,67,62,52,45,92
500,710,393,287,228,138,78,65,49,2062,OVER,OVER,OVER,147,86,80,75,55,116
