E4,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1285,1849,1156,463,334,229,226,288,356,414,441,418,360,298,234,189,157,128
260,30926,3121,1996,672,416,262,301,407,538,648,692,697,623,516,420,341,281,231
280,5132336,31373,1383,522,357,226,232,307,412,521,593,603,555,472,404,343,292,243
300,OVER,OVER,1854,394,386,272,237,252,309,367,409,418,389,342,290,253,223,185
320,1580487,OVER,OVER,1994,389,309,247,214,209,206,197,184,160,136,115,99,83,78
340,-88,2812349,OVER,OVER,15446,297,251,217,186,151,120,85,61,41,26,21,9,14
360,-96,103,4453296,OVER,OVER,18677,289,258,237,200,151,113,77,49,22,18,12,3
380,-107,-35,1746,3916649,OVER,OVER,3596,223,225,201,167,129,86,56,34,14,19,3
400,-125,-83,-84,448,4051201,OVER,OVER,685,192,192,157,125,82,49,32,23,5,3
420,11,-25,-44,-37,24,1588021,OVER,OVER,295,145,124,102,70,44,31,11,13,-9
440,-90,-65,-72,-60,-32,21,OVER,OVER,OVER,238,81,78,58,38,21,16,7,-9
460,-292,-105,-22,-47,-29,-18,222,OVER,OVER,OVER,126,56,44,30,16,13,-1,-3
480,-147,-139,-91,-35,-21,-11,3,2259,OVER,OVER,OVER,102,27,16,14,5,-3,7
500,-211,-147,-105,-39,-56,-13,-3,-10,2471,OVER,OVER,OVER,82,5,8,5,5,-17
