E6,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,18849,41221,30528,11872,5266,1399,481,250,182,141,100,75,53,36,28,19,17,22
260,92547,68149,50437,19092,7906,1946,592,291,209,163,130,100,74,48,35,24,18,32
280,OVER,189358,91205,37936,19017,5574,1728,682,400,266,185,135,100,64,44,35,29,46
300,OVER,OVER,98720,63134,43333,15406,5037,1939,1030,601,367,240,149,92,64,45,37,57
320,OVER,OVER,OVER,54934,44821,18000,6644,2677,1456,860,528,343,209,130,84,64,51,71
340,357,OVER,OVER,OVER,45557,10927,5371,2817,1794,1172,768,503,320,200,124,94,81,105
360,134,662,OVER,OVER,OVER,35904,4210,2882,2109,1497,1007,674,429,268,170,119,93,133
380,215,50,7265,OVER,OVER,OVER,8086,1662,1350,1039,730,495,322,200,140,87,76,144
400,151,125,139,2411,OVER,OVER,OVER,1652,714,587,423,306,213,137,97,72,70,181
420,168,93,160,65,352,OVER,OVER,OVER,626,293,257,188,149,109,70,76,66,255
440,-9,115,54,45,52,135,OVER,OVER,OVER,423,139,146,117,84,57,46,72,277
460,76,10,22,24,49,26,1353,OVER,OVER,OVER,266,105,109,81,52,51,67,232
480,318,94,62,78,57,35,54,11424,OVER,OVER,OVER,226,76,76,63,54,62,177
500,185,133,130,79,22,29,31,39,14224,OVER,OVER,OVER,180,49,83,61,56,169
