B2,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640
240,1093,1919,1331,544,365,247,250,318,390,449,474,455,396,322,263,212,180,152
260,14884,3662,2501,872,489,293,306,422,554,665,722,723,655,533,433,359,301,255
280,6155394,12794,1227,523,362,234,229,312,411,516,590,611,562,482,408,342,297,250
300,OVER,OVER,727,315,358,246,216,238,291,345,385,407,376,333,287,247,220,186
320,2324363,OVER,OVER,865,384,257,203,171,167,164,165,164,149,126,109,95,87,76
340,172,3469936,OVER,OVER,7053,255,207,165,137,111,86,67,54,42,34,28,22,24
360,132,242,5031856,OVER,OVER,10347,284,240,204,149,115,85,54,42,24,25,20,10
380,87,3,1621,4238851,OVER,OVER,1899,227,199,169,114,84,65,50,28,26,16,7
400,-17,81,58,457,4079086,OVER,OVER,373,168,140,115,86,65,39,34,25,13,33
420,141,42,30,30,75,1552050,OVER,OVER,190,101,87,72,41,45,27,22,11,19
440,160,104,17,45,33,23,OVER,OVER,OVER,175,58,53,37,32,24,22,8,13
460,92,56,21,36,24,6,206,OVER,OVER,OVER,99,51,33,29,16,20,24,10
480,71,33,74,31,48,12,4,2379,OVER,OVER,OVER,70,28,16,20,12,15,18
500,167,37,26,30,46,28,14,16,2499,OVER,OVER,OVER,79,24,8,19,20,19
